timestamp,pod,cpu_millicores,memory_mib
1777639353,dagster-thesis-daemon-5899b9b5d-57hqv,19,177
1777639353,dagster-thesis-postgresql-0,20,77
1777639353,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639353,dagster-thesis-workload-68d48d9786-58tqg,98,127
1777639356,dagster-thesis-daemon-5899b9b5d-57hqv,19,177
1777639356,dagster-thesis-postgresql-0,20,77
1777639356,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639356,dagster-thesis-workload-68d48d9786-58tqg,98,127
1777639358,dagster-thesis-daemon-5899b9b5d-57hqv,19,177
1777639358,dagster-thesis-postgresql-0,20,77
1777639358,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639358,dagster-thesis-workload-68d48d9786-58tqg,98,127
1777639360,dagster-thesis-daemon-5899b9b5d-57hqv,19,177
1777639360,dagster-thesis-postgresql-0,20,77
1777639360,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639360,dagster-thesis-workload-68d48d9786-58tqg,98,127
1777639362,dagster-thesis-daemon-5899b9b5d-57hqv,19,177
1777639362,dagster-thesis-postgresql-0,20,77
1777639362,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639362,dagster-thesis-workload-68d48d9786-58tqg,98,127
1777639364,dagster-thesis-daemon-5899b9b5d-57hqv,19,177
1777639364,dagster-thesis-postgresql-0,20,77
1777639364,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639364,dagster-thesis-workload-68d48d9786-58tqg,98,127
1777639367,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777639367,dagster-thesis-postgresql-0,23,77
1777639367,dagster-thesis-webserver-64848cbff5-swthz,12,160
1777639367,dagster-thesis-workload-68d48d9786-58tqg,112,127
1777639369,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777639369,dagster-thesis-postgresql-0,23,77
1777639369,dagster-thesis-webserver-64848cbff5-swthz,12,160
1777639369,dagster-thesis-workload-68d48d9786-58tqg,112,127
1777639371,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777639371,dagster-thesis-postgresql-0,23,77
1777639371,dagster-thesis-webserver-64848cbff5-swthz,12,160
1777639371,dagster-thesis-workload-68d48d9786-58tqg,112,127
1777639373,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777639373,dagster-thesis-postgresql-0,23,77
1777639373,dagster-thesis-webserver-64848cbff5-swthz,12,160
1777639373,dagster-thesis-workload-68d48d9786-58tqg,112,127
1777639376,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777639376,dagster-thesis-postgresql-0,23,77
1777639376,dagster-thesis-webserver-64848cbff5-swthz,12,160
1777639376,dagster-thesis-workload-68d48d9786-58tqg,112,127
1777639378,dagster-thesis-daemon-5899b9b5d-57hqv,23,177
1777639378,dagster-thesis-postgresql-0,23,77
1777639378,dagster-thesis-webserver-64848cbff5-swthz,12,160
1777639378,dagster-thesis-workload-68d48d9786-58tqg,112,127
1777639380,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,325,230
1777639380,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,251,104
1777639380,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,185,231
1777639380,dagster-thesis-daemon-5899b9b5d-57hqv,24,177
1777639380,dagster-thesis-postgresql-0,39,77
1777639380,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639380,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639382,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,325,230
1777639382,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,251,104
1777639382,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,185,231
1777639382,dagster-thesis-daemon-5899b9b5d-57hqv,24,177
1777639382,dagster-thesis-postgresql-0,39,77
1777639382,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639382,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639384,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,325,230
1777639384,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,251,104
1777639384,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,185,231
1777639384,dagster-thesis-daemon-5899b9b5d-57hqv,24,177
1777639384,dagster-thesis-postgresql-0,39,77
1777639384,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639384,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639387,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,325,230
1777639387,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,251,104
1777639387,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,185,231
1777639387,dagster-thesis-daemon-5899b9b5d-57hqv,24,177
1777639387,dagster-thesis-postgresql-0,39,77
1777639387,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639387,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639389,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,325,230
1777639389,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,251,104
1777639389,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,185,231
1777639389,dagster-thesis-daemon-5899b9b5d-57hqv,24,177
1777639389,dagster-thesis-postgresql-0,39,77
1777639389,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639389,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639391,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,325,230
1777639391,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,251,104
1777639391,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,185,231
1777639391,dagster-thesis-daemon-5899b9b5d-57hqv,24,177
1777639391,dagster-thesis-postgresql-0,39,77
1777639391,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639391,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639393,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,325,230
1777639393,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,251,104
1777639393,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,185,231
1777639393,dagster-thesis-daemon-5899b9b5d-57hqv,24,177
1777639393,dagster-thesis-postgresql-0,39,77
1777639393,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639393,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639396,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,970,230
1777639396,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,856,230
1777639396,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,972,230
1777639396,dagster-thesis-daemon-5899b9b5d-57hqv,21,177
1777639396,dagster-thesis-postgresql-0,57,77
1777639396,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639396,dagster-thesis-workload-68d48d9786-58tqg,82,189
1777639398,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,970,230
1777639398,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,856,230
1777639398,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,972,230
1777639398,dagster-thesis-daemon-5899b9b5d-57hqv,21,177
1777639398,dagster-thesis-postgresql-0,57,77
1777639398,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639398,dagster-thesis-workload-68d48d9786-58tqg,82,189
1777639400,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,970,230
1777639400,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,856,230
1777639400,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,972,230
1777639400,dagster-thesis-daemon-5899b9b5d-57hqv,21,177
1777639400,dagster-thesis-postgresql-0,57,77
1777639400,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639400,dagster-thesis-workload-68d48d9786-58tqg,82,189
1777639402,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,970,230
1777639402,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,856,230
1777639402,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,972,230
1777639402,dagster-thesis-daemon-5899b9b5d-57hqv,21,177
1777639402,dagster-thesis-postgresql-0,57,77
1777639402,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639402,dagster-thesis-workload-68d48d9786-58tqg,82,189
1777639405,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,970,230
1777639405,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,856,230
1777639405,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,972,230
1777639405,dagster-thesis-daemon-5899b9b5d-57hqv,21,177
1777639405,dagster-thesis-postgresql-0,57,77
1777639405,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639405,dagster-thesis-workload-68d48d9786-58tqg,82,189
1777639407,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,970,230
1777639407,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,856,230
1777639407,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,972,230
1777639407,dagster-thesis-daemon-5899b9b5d-57hqv,21,177
1777639407,dagster-thesis-postgresql-0,57,77
1777639407,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639407,dagster-thesis-workload-68d48d9786-58tqg,82,189
1777639409,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,970,230
1777639409,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,856,230
1777639409,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,972,230
1777639409,dagster-thesis-daemon-5899b9b5d-57hqv,21,177
1777639409,dagster-thesis-postgresql-0,57,77
1777639409,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639409,dagster-thesis-workload-68d48d9786-58tqg,82,189
1777639411,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,965,230
1777639411,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,971,230
1777639411,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,970,230
1777639411,dagster-thesis-daemon-5899b9b5d-57hqv,12,178
1777639411,dagster-thesis-postgresql-0,14,77
1777639411,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639411,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639414,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,965,230
1777639414,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,971,230
1777639414,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,970,230
1777639414,dagster-thesis-daemon-5899b9b5d-57hqv,12,178
1777639414,dagster-thesis-postgresql-0,14,77
1777639414,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639414,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639416,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,965,230
1777639416,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,971,230
1777639416,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,970,230
1777639416,dagster-thesis-daemon-5899b9b5d-57hqv,12,178
1777639416,dagster-thesis-postgresql-0,14,77
1777639416,dagster-thesis-webserver-64848cbff5-swthz,7,160
1777639416,dagster-thesis-workload-68d48d9786-58tqg,63,127
1777639418,dagster-run-b8002ff7-cc8d-49eb-b62f-bed6293c8ac1-bzgwt,965,230
1777639418,dagster-run-ec738d5a-73ae-41bb-b433-96f664266151-qmkbx,971,230
1777639418,dagster-run-fcf13dab-32c1-4cbf-a16d-1b00a734f990-mkdbb,970,230
1777639418,dagster-thesis-daemon-5899b9b5d-57hqv,12,178
1777639418,dagster-thesis-postgresql-0,14,77
